LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(33.41, -3.05, -31.02),(-0.11, -0.54, 0.83), (-27.86, -7.03, -18.96), (-0.05, -0.06, 1.00), (33.41, -3.05, -31.02), (-0.11, -0.54, 0.83)
(32.24, -8.47, -24.63),(-0.13, 0.12, 0.98), (-29.28, -7.64, -21.85), (-0.03, 0.17, 0.98), (-21.43, -7.75, -22.20), (-0.05, 0.16, 0.99)
(32.06, -8.53, -24.76),(-0.09, 0.09, 0.99), (-29.40, -7.62, -21.82), (-0.04, 0.17, 0.98), (-1.68, -8.03, -23.14), (-0.06, 0.14, 0.99)
(32.23, -8.19, -25.62),(-0.06, -0.09, 0.99), (-29.18, -7.17, -22.78), (-0.01, 0.02, 1.00), (-27.76, -7.19, -22.84), (-0.01, 0.02, 1.00)
(33.06, -10.06, -24.95),(0.07, -0.19, 0.98), (-29.13, -8.27, -21.82), (0.00, 0.00, 0.00), (33.06, -10.06, -24.95), (0.07, -0.19, 0.98)
(32.48, -8.73, -24.96),(-0.09, 0.11, 0.99), (-29.03, -7.91, -21.99), (-0.02, 0.16, 0.99), (-29.03, -7.91, -21.99), (-0.02, 0.16, 0.99)
(32.53, -8.82, -24.90),(-0.09, 0.09, 0.99), (-29.00, -8.04, -21.72), (0.00, 0.16, 0.99), (31.23, -8.81, -24.83), (-0.09, 0.10, 0.99)
(32.54, -8.82, -24.81),(-0.08, 0.08, 0.99), (-28.99, -8.00, -22.07), (0.01, 0.16, 0.99), (29.03, -8.78, -24.65), (-0.07, 0.08, 0.99)
(32.53, -8.83, -24.88),(-0.07, 0.09, 0.99), (-29.06, -7.86, -22.18), (-0.01, 0.15, 0.99), (32.22, -8.82, -24.87), (-0.07, 0.09, 0.99)
(32.55, -8.59, -25.06),(-0.07, 0.08, 0.99), (-29.05, -7.81, -22.15), (-0.01, 0.15, 0.99), (14.11, -8.36, -24.19), (-0.05, 0.10, 0.99)
