FixationStartTime,FixationDuration
9.379195,0.1852407
9.631413,0.1169434
17.79629,0.2478466
18.78051,0.4385414
19.36092,0.2512932
19.83302,0.2591381
24.06515,0.1077976
24.32392,0.1071453
24.58182,0.5018959
25.55247,0.1458435
28.61288,0.1062145
34.84441,0.1469955
35.53795,0.3973618
36.05202,0.2193451
45.3005,0.2904778
50.1756,0.2271423
50.64882,0.1110573
57.52926,0.4037933
64.43819,0.1436539
67.965,0.111702
68.14355,0.1123505
68.61817,0.1049423
68.79755,0.2510529
70.723,0.1148453
70.95134,0.1844101
88.73465,0.1069336
89.84449,0.1135864
92.74635,0.1398773
92.96025,0.2944031
93.50738,0.1072464
107.08,0.1459579
117.8729,0.1077957
119.0805,0.2631989
119.4176,0.5856323
120.1537,0.1071014
121.4123,0.9999771
128.4192,0.3317566
133.1148,0.1695099
134.118,0.132431
136.4705,0.1654358
138.7103,0.6997528
145.6918,0.5742798
152.896,0.1696014
153.1341,0.1011658
153.5047,0.1674957
164.1209,0.3338776
164.5265,0.1750793
179.6788,0.1046753
180.0546,0.2529449
181.2818,0.102005
