LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(30.27, -9.04, -21.82),(0.07, 0.18, 0.98), (-33.52, -8.94, -23.21), (0.08, 0.17, 0.98), (-5.95, -8.98, -22.61), (0.08, 0.18, 0.98)
(29.74, -9.79, -20.53),(0.00, 0.13, 0.99), (-34.04, -9.52, -22.62), (0.01, 0.13, 0.99), (-3.91, -9.65, -21.63), (0.00, 0.13, 0.99)
(29.88, -9.70, -21.09),(0.02, 0.10, 1.00), (-33.88, -9.50, -22.82), (0.03, 0.09, 1.00), (-10.38, -9.57, -22.19), (0.03, 0.09, 1.00)
(29.85, -9.70, -21.13),(0.03, 0.10, 0.99), (-33.89, -9.49, -22.81), (0.03, 0.09, 1.00), (2.66, -9.61, -21.85), (0.03, 0.10, 0.99)
(29.85, -9.69, -21.13),(0.03, 0.10, 0.99), (-33.89, -9.48, -22.80), (0.03, 0.10, 1.00), (-3.91, -9.58, -22.01), (0.03, 0.10, 0.99)
(29.86, -9.69, -21.00),(0.02, 0.12, 0.99), (-33.91, -9.34, -22.97), (0.02, 0.09, 1.00), (6.04, -9.56, -21.74), (0.02, 0.11, 0.99)
(29.86, -9.68, -21.00),(0.02, 0.13, 0.99), (-33.92, -9.32, -22.98), (0.01, 0.10, 1.00), (-4.62, -9.48, -22.07), (0.02, 0.11, 0.99)
(29.86, -9.62, -21.05),(0.02, 0.13, 0.99), (-33.92, -9.31, -22.97), (0.02, 0.09, 1.00), (-4.99, -9.45, -22.10), (0.02, 0.11, 0.99)
(29.85, -9.60, -21.06),(0.02, 0.14, 0.99), (-33.92, -9.32, -22.92), (0.02, 0.11, 0.99), (-0.55, -9.46, -21.94), (0.02, 0.12, 0.99)
(29.85, -9.58, -21.06),(0.02, 0.14, 0.99), (-33.90, -9.92, -21.38), (0.00, 0.13, 0.99), (29.85, -9.58, -21.06), (0.02, 0.14, 0.99)
(29.84, -9.55, -21.07),(0.02, 0.14, 0.99), (-33.90, -10.00, -21.17), (0.00, 0.14, 0.99), (16.68, -9.64, -21.09), (0.01, 0.14, 0.99)
(29.97, -10.04, -21.27),(0.07, 0.05, 1.00), (-33.56, -10.10, -22.57), (0.06, 0.05, 1.00), (29.97, -10.04, -21.27), (0.07, 0.05, 1.00)
(30.02, -10.81, -20.79),(0.06, -0.09, 0.99), (-33.38, -10.24, -23.28), (0.08, -0.03, 1.00), (30.02, -10.81, -20.79), (0.06, -0.09, 0.99)
(30.03, -10.81, -20.73),(0.05, -0.10, 0.99), (-33.44, -10.22, -23.35), (0.09, -0.03, 1.00), (-7.81, -10.46, -22.29), (0.07, -0.06, 1.00)
(28.69, -11.86, -21.17),(-0.11, -0.30, 0.95), (-34.39, -11.45, -23.43), (-0.06, -0.01, 1.00), (28.69, -11.86, -21.17), (-0.11, -0.30, 0.95)
(31.75, -7.86, -22.23),(0.00, 0.00, 0.00), (-34.44, -11.55, -23.09), (-0.01, 0.05, 1.00), (31.71, -7.93, -21.94), (0.34, 0.11, 0.94)
