LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(29.21, -0.22, -29.77),(-0.25, -0.11, 0.96), (-36.50, -2.67, -32.46), (-0.26, -0.12, 0.96), (-16.64, -1.93, -31.65), (-0.25, -0.12, 0.96)
(28.10, -2.02, -32.92),(0.00, 0.00, 0.00), (-36.25, -5.23, -34.77), (-0.12, -0.35, 0.93), (-36.25, -5.23, -34.77), (-0.12, -0.35, 0.93)
(29.07, -0.97, -31.95),(-0.18, -0.34, 0.92), (-36.00, -4.32, -34.40), (-0.20, -0.45, 0.87), (-35.94, -4.32, -34.39), (-0.20, -0.45, 0.87)
(30.04, -1.09, -32.02),(0.00, -0.41, 0.91), (-34.56, -3.85, -33.99), (0.03, -0.41, 0.91), (26.48, -1.24, -32.13), (0.00, -0.41, 0.91)
(30.40, -0.53, -31.81),(-0.02, -0.34, 0.94), (-34.46, -3.04, -33.71), (0.06, -0.38, 0.92), (18.74, -0.98, -32.15), (0.00, -0.35, 0.94)
(30.83, -0.34, -31.82),(0.06, -0.22, 0.97), (-34.22, -2.94, -33.57), (0.12, -0.28, 0.95), (30.41, -0.36, -31.83), (0.06, -0.22, 0.97)
(32.17, -0.54, -32.27),(0.32, -0.12, 0.94), (-32.50, -2.80, -33.90), (0.38, -0.09, 0.92), (14.16, -1.17, -32.72), (0.34, -0.11, 0.93)
(32.38, -0.71, -32.34),(0.31, -0.08, 0.95), (-32.57, -2.77, -33.92), (0.36, -0.06, 0.93), (-24.74, -2.52, -33.73), (0.35, -0.06, 0.93)
(32.29, -0.65, -32.25),(0.26, -0.07, 0.96), (-32.85, -2.64, -33.78), (0.32, -0.07, 0.94), (-2.06, -1.70, -33.05), (0.29, -0.07, 0.95)
(32.16, -0.49, -32.13),(0.19, -0.05, 0.98), (-33.12, -2.43, -33.60), (0.25, -0.07, 0.97), (-5.65, -1.62, -32.98), (0.23, -0.06, 0.97)
(31.74, -0.40, -32.00),(0.12, -0.05, 0.99), (-33.61, -2.89, -32.46), (0.19, -0.06, 0.98), (31.74, -0.40, -32.00), (0.12, -0.05, 0.99)
(30.49, 0.23, -30.38),(0.05, 0.16, 0.99), (-34.51, -2.30, -32.34), (0.09, 0.14, 0.99), (-34.44, -2.30, -32.34), (0.09, 0.14, 0.99)
(29.62, -0.12, -28.61),(0.00, 0.16, 0.99), (-35.60, -3.45, -29.86), (0.01, 0.19, 0.98), (13.31, -0.95, -28.92), (0.01, 0.16, 0.99)
