AverageLeftPupilDiameter,RightPupilDiameter
0,0
4.201299,4.222504
4.398733,3.458298
4.444246,3.563095
5.168092,5.539993
4.549684,4.824188
4.444147,4.436691
4.738674,4.412338
4.788815,4.865189
4.870805,5.772171
5.259611,5.390045
4.578907,3.791
5.309949,4.917908
4.456475,4.502396
4.49825,4.978622
4.743787,3.797516
5.028092,5.60321
5.249264,5.112381
4.915387,5.170166
4.970336,4.718079
4.771553,4.990356
4.55267,4.568573
5.109154,4.848801
4.974235,4.589828
5.038747,4.511459
4.765294,4.96106
4.93764,4.428894
4.581363,4.380585
4.855536,5.21521
5.055606,5.208923
5.406791,5.869125
5.596071,5.41301
5.290632,5.721802
5.230774,4.841492
5.174393,5.332809
