LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(32.29, 0.39, -40.60),(-0.01, -0.05, 1.00), (-31.79, -1.98, -38.90), (0.03, -0.08, 1.00), (-31.66, -1.98, -38.91), (0.03, -0.08, 1.00)
(30.74, -0.88, -40.29),(-0.23, -0.32, 0.92), (-33.00, -3.35, -39.22), (-0.23, -0.45, 0.86), (13.31, -1.56, -40.00), (-0.23, -0.35, 0.91)
(31.06, -0.80, -40.21),(-0.20, -0.30, 0.93), (-32.89, -3.21, -39.05), (-0.15, -0.38, 0.91), (0.09, -1.97, -39.65), (-0.18, -0.34, 0.92)
(31.34, -0.72, -40.16),(-0.14, -0.26, 0.95), (-32.61, -3.04, -38.94), (-0.16, -0.39, 0.91), (-2.31, -1.94, -39.52), (-0.15, -0.33, 0.93)
(31.51, -0.68, -40.13),(-0.13, -0.27, 0.95), (-32.44, -3.04, -38.90), (-0.12, -0.36, 0.93), (-0.24, -1.85, -39.52), (-0.13, -0.32, 0.94)
(31.82, -0.57, -40.09),(-0.09, -0.25, 0.96), (-32.11, -3.02, -38.83), (-0.05, -0.37, 0.93), (-8.47, -2.11, -39.29), (-0.06, -0.33, 0.94)
(31.92, -0.57, -40.09),(-0.08, -0.25, 0.97), (-32.00, -3.00, -38.82), (-0.05, -0.37, 0.93), (-6.19, -2.02, -39.33), (-0.06, -0.32, 0.95)
(31.98, -0.55, -40.09),(-0.07, -0.25, 0.97), (-31.93, -2.99, -38.80), (-0.04, -0.35, 0.94), (-8.19, -2.08, -39.28), (-0.05, -0.31, 0.95)
(31.96, -0.55, -40.10),(-0.08, -0.24, 0.97), (-31.95, -3.02, -38.82), (-0.05, -0.34, 0.94), (-9.36, -2.14, -39.27), (-0.06, -0.30, 0.95)
(31.88, -0.60, -40.10),(-0.07, -0.25, 0.97), (-32.03, -3.00, -38.82), (-0.04, -0.39, 0.92), (-8.57, -2.12, -39.29), (-0.05, -0.34, 0.94)
(31.85, -0.59, -40.10),(-0.07, -0.25, 0.96), (-32.06, -3.00, -38.82), (-0.07, -0.38, 0.92), (-7.13, -2.06, -39.32), (-0.07, -0.33, 0.94)
(31.81, -0.56, -40.11),(-0.08, -0.24, 0.97), (-32.11, -2.98, -38.82), (-0.09, -0.31, 0.95), (-1.27, -1.82, -39.44), (-0.09, -0.28, 0.96)
(31.87, -0.46, -40.09),(-0.08, -0.22, 0.97), (-32.05, -2.88, -38.77), (-0.08, -0.35, 0.93), (-6.09, -1.90, -39.30), (-0.08, -0.30, 0.95)
(32.99, 0.00, -40.21),(0.15, -0.11, 0.98), (-30.63, -2.27, -38.58), (0.20, -0.24, 0.95), (-29.89, -2.24, -38.60), (0.19, -0.24, 0.95)
(33.03, -0.03, -40.21),(0.16, -0.12, 0.98), (-30.67, -2.38, -38.60), (0.18, -0.20, 0.96), (-30.37, -2.37, -38.61), (0.18, -0.20, 0.96)
(32.92, -0.05, -40.18),(0.13, -0.12, 0.98), (-30.85, -2.41, -38.59), (0.15, -0.20, 0.97), (-6.60, -1.51, -39.20), (0.14, -0.17, 0.98)
(32.84, -0.07, -40.15),(0.12, -0.12, 0.99), (-30.96, -2.35, -38.58), (0.13, -0.20, 0.97), (-6.66, -1.48, -39.18), (0.12, -0.17, 0.98)
(32.72, -0.05, -40.17),(0.10, -0.12, 0.99), (-31.11, -2.35, -38.58), (0.10, -0.21, 0.97), (-13.95, -1.73, -39.01), (0.10, -0.19, 0.98)
(32.63, 0.17, -40.75),(0.07, -0.12, 0.99), (-31.23, -2.34, -38.58), (0.07, -0.20, 0.98), (-31.21, -2.34, -38.58), (0.07, -0.20, 0.98)
(32.52, 0.40, -41.20),(0.04, -0.11, 0.99), (-31.35, -1.93, -39.41), (0.06, -0.19, 0.98), (-30.25, -1.89, -39.44), (0.06, -0.19, 0.98)
(32.41, 0.38, -40.78),(0.03, -0.10, 0.99), (-31.40, -1.92, -39.27), (0.05, -0.16, 0.99), (31.94, 0.36, -40.76), (0.03, -0.10, 0.99)
(32.47, 0.49, -40.88),(0.03, -0.08, 1.00), (-31.35, -2.07, -38.53), (0.06, -0.13, 0.99), (28.90, 0.35, -40.75), (0.04, -0.09, 1.00)
(32.33, 0.58, -40.98),(0.01, -0.07, 1.00), (-31.51, -2.08, -38.47), (0.04, -0.11, 0.99), (31.22, 0.53, -40.93), (0.01, -0.07, 1.00)
(32.07, 0.57, -40.78),(-0.03, -0.05, 1.00), (-31.78, -1.96, -38.64), (0.02, -0.08, 1.00), (2.44, -0.60, -39.79), (-0.01, -0.06, 1.00)
(31.83, 0.52, -40.67),(-0.03, -0.05, 1.00), (-32.04, -1.47, -39.76), (-0.01, -0.08, 1.00), (27.30, 0.38, -40.60), (-0.03, -0.05, 1.00)
(32.05, 0.96, -41.99),(-0.03, -0.08, 1.00), (-32.13, -1.47, -40.09), (-0.01, -0.09, 1.00), (-21.68, -1.07, -40.40), (-0.01, -0.09, 1.00)
(32.07, 0.16, -40.80),(0.00, 0.00, 0.00), (-31.48, -2.06, -39.14), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(32.07, 0.16, -40.80),(0.00, 0.00, 0.00), (-31.48, -2.06, -39.14), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(32.07, 0.16, -40.80),(0.00, 0.00, 0.00), (-31.48, -2.06, -39.14), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(31.81, 0.96, -42.64),(0.00, 0.00, 0.00), (-32.47, -2.23, -39.20), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(31.95, 0.50, -41.07),(-0.04, -0.10, 0.99), (-32.23, -2.14, -39.14), (0.01, -0.16, 0.99), (-32.23, -2.14, -39.14), (0.01, -0.16, 0.99)
(32.22, 0.48, -40.80),(-0.03, -0.07, 1.00), (-31.90, -1.97, -39.29), (0.03, -0.13, 0.99), (-31.90, -1.97, -39.29), (0.03, -0.13, 0.99)
(32.46, 0.62, -41.41),(0.00, -0.07, 1.00), (-31.63, -1.99, -39.33), (0.05, -0.13, 0.99), (32.10, 0.60, -41.40), (0.00, -0.07, 1.00)
(32.57, 0.60, -41.50),(0.02, -0.07, 1.00), (-31.48, -1.96, -39.47), (0.06, -0.13, 0.99), (23.47, 0.24, -41.21), (0.03, -0.08, 1.00)
(31.76, 0.57, -41.32),(-0.07, -0.09, 0.99), (-32.26, -2.33, -38.99), (-0.05, -0.12, 0.99), (29.81, 0.48, -41.25), (-0.07, -0.09, 0.99)
(31.61, 0.51, -41.22),(-0.11, -0.10, 0.99), (-32.36, -2.39, -38.72), (-0.06, -0.11, 0.99), (24.85, 0.21, -40.96), (-0.11, -0.10, 0.99)
(31.84, 0.36, -40.90),(-0.09, -0.10, 0.99), (-32.15, -2.31, -38.83), (-0.04, -0.14, 0.99), (27.48, 0.18, -40.76), (-0.08, -0.10, 0.99)
(32.08, 0.43, -41.27),(-0.07, -0.10, 0.99), (-31.96, -2.59, -38.24), (0.00, -0.12, 0.99), (14.03, -0.42, -40.42), (-0.05, -0.11, 0.99)
(32.08, 0.38, -41.25),(-0.08, -0.11, 0.99), (-31.96, -2.59, -38.29), (-0.02, -0.15, 0.99), (27.00, 0.15, -41.02), (-0.08, -0.12, 0.99)
(31.92, 0.36, -41.20),(-0.07, -0.10, 0.99), (-32.06, -3.18, -36.60), (-0.03, -0.15, 0.99), (31.88, 0.36, -41.20), (-0.07, -0.10, 0.99)
(31.82, 0.36, -41.11),(-0.07, -0.10, 0.99), (-32.22, -2.36, -38.81), (0.01, -0.16, 0.99), (31.81, 0.36, -41.11), (-0.07, -0.10, 0.99)
(31.83, 0.27, -40.91),(-0.07, -0.11, 0.99), (-32.18, -2.26, -39.08), (0.01, -0.15, 0.99), (31.83, 0.27, -40.91), (-0.07, -0.11, 0.99)
(31.95, 0.23, -40.80),(-0.06, -0.10, 0.99), (-32.04, -2.29, -38.98), (0.01, -0.17, 0.99), (31.95, 0.23, -40.80), (-0.06, -0.10, 0.99)
(32.14, 1.23, -41.70),(-0.02, -0.02, 1.00), (-31.64, -1.57, -38.90), (0.00, -0.05, 1.00), (31.97, 1.23, -41.69), (-0.02, -0.02, 1.00)
(32.26, 1.58, -41.73),(-0.01, 0.07, 1.00), (-31.45, -0.86, -39.85), (0.02, 0.05, 1.00), (32.26, 1.58, -41.73), (-0.01, 0.07, 1.00)
(32.38, 1.58, -42.07),(-0.01, 0.07, 1.00), (-31.43, -0.82, -40.21), (0.03, 0.01, 1.00), (31.87, 1.56, -42.06), (-0.01, 0.07, 1.00)
(32.38, 1.64, -42.23),(-0.01, 0.06, 1.00), (-31.50, -0.94, -39.74), (0.02, 0.01, 1.00), (-11.48, -0.13, -40.52), (0.01, 0.03, 1.00)
(32.41, 1.47, -41.99),(-0.01, 0.03, 1.00), (-31.49, -0.76, -40.50), (0.02, -0.01, 1.00), (20.98, 1.07, -41.72), (-0.01, 0.02, 1.00)
