LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(33.14, 1.44, -42.65),(-0.02, -0.02, 1.00), (-31.16, -0.17, -40.17), (-0.04, -0.04, 1.00), (30.75, 1.38, -42.56), (-0.03, -0.02, 1.00)
(33.59, 1.86, -41.89),(0.11, -0.02, 0.99), (-30.71, 0.26, -39.37), (0.14, -0.03, 0.99), (32.81, 1.84, -41.86), (0.11, -0.02, 0.99)
(33.45, 2.15, -42.14),(0.06, 0.02, 1.00), (-30.82, 0.92, -40.32), (0.09, -0.02, 1.00), (7.69, 1.66, -41.41), (0.07, 0.01, 1.00)
(33.47, 2.10, -42.20),(0.05, 0.02, 1.00), (-30.82, 0.94, -40.53), (0.07, -0.02, 1.00), (-1.83, 1.46, -41.28), (0.06, 0.00, 1.00)
(33.44, 1.93, -41.86),(0.06, 0.01, 1.00), (-30.84, 0.90, -40.60), (0.07, -0.03, 1.00), (-17.00, 1.12, -40.87), (0.07, -0.02, 1.00)
(33.43, 1.99, -42.06),(0.06, 0.01, 1.00), (-30.87, 0.95, -40.67), (0.07, -0.03, 1.00), (25.07, 1.86, -41.87), (0.06, 0.00, 1.00)
(33.37, 2.05, -42.01),(0.07, 0.00, 1.00), (-30.95, 0.71, -39.88), (0.08, -0.02, 1.00), (33.02, 2.04, -42.00), (0.07, 0.00, 1.00)
(32.44, 1.47, -41.78),(-0.04, -0.08, 1.00), (-31.46, 0.22, -40.43), (-0.02, -0.14, 0.99), (28.48, 1.39, -41.70), (-0.04, -0.09, 1.00)
(31.51, 0.68, -42.31),(-0.19, -0.32, 0.93), (-31.96, -0.75, -40.69), (-0.14, -0.33, 0.93), (29.95, 0.65, -42.27), (-0.19, -0.32, 0.93)
(31.78, 0.52, -42.31),(-0.17, -0.35, 0.92), (-31.94, -0.84, -40.71), (-0.11, -0.40, 0.91), (7.65, 0.01, -41.71), (-0.14, -0.37, 0.92)
(32.14, 0.60, -42.25),(-0.13, -0.32, 0.94), (-31.71, -0.80, -40.65), (-0.09, -0.36, 0.93), (-16.59, -0.47, -41.03), (-0.10, -0.35, 0.93)
(32.46, 0.70, -42.20),(-0.10, -0.30, 0.95), (-31.48, -0.66, -40.56), (-0.05, -0.33, 0.94), (-7.37, -0.15, -41.18), (-0.07, -0.32, 0.95)
(32.71, 0.79, -42.17),(-0.06, -0.27, 0.96), (-31.26, -0.52, -40.50), (-0.03, -0.34, 0.94), (-4.14, 0.03, -41.21), (-0.04, -0.31, 0.95)
(32.97, 0.99, -42.13),(-0.03, -0.23, 0.97), (-31.04, -0.29, -40.41), (0.00, -0.29, 0.96), (-3.44, 0.26, -41.15), (-0.02, -0.26, 0.96)
(33.10, 1.19, -42.11),(-0.01, -0.20, 0.98), (-30.94, -0.12, -40.33), (0.00, -0.22, 0.98), (-4.04, 0.43, -41.08), (0.00, -0.21, 0.98)
(33.15, 1.52, -42.54),(0.00, -0.16, 0.99), (-30.90, 0.06, -40.16), (0.02, -0.20, 0.98), (-6.17, 0.63, -41.08), (0.02, -0.19, 0.98)
(31.70, 1.30, -42.21),(-0.22, -0.19, 0.96), (-32.14, -0.03, -40.51), (-0.19, -0.22, 0.96), (-20.02, 0.22, -40.83), (-0.19, -0.21, 0.96)
(30.97, 1.44, -42.37),(-0.30, -0.16, 0.94), (-32.88, 0.13, -40.70), (-0.29, -0.21, 0.93), (18.72, 1.19, -42.05), (-0.30, -0.17, 0.94)
(31.19, 1.64, -42.29),(-0.28, -0.12, 0.95), (-32.81, 0.31, -40.60), (-0.25, -0.17, 0.95), (5.19, 1.10, -41.60), (-0.27, -0.14, 0.95)
(31.55, 2.07, -42.16),(-0.23, -0.10, 0.97), (-32.50, 0.74, -40.42), (-0.20, -0.14, 0.97), (-2.80, 1.36, -41.23), (-0.22, -0.12, 0.97)
(31.83, 1.79, -40.99),(-0.22, -0.07, 0.97), (-32.28, 0.93, -40.35), (-0.18, -0.14, 0.97), (-32.18, 0.93, -40.35), (-0.18, -0.14, 0.97)
(32.15, 2.26, -42.00),(-0.18, -0.07, 0.98), (-31.96, 1.01, -40.26), (-0.14, -0.10, 0.98), (-31.96, 1.01, -40.26), (-0.14, -0.10, 0.98)
(32.39, 2.44, -42.54),(-0.15, -0.07, 0.99), (-31.73, 0.92, -39.99), (-0.10, -0.10, 0.99), (-31.73, 0.92, -39.99), (-0.10, -0.10, 0.99)
(32.62, 2.44, -42.65),(-0.13, -0.06, 0.99), (-31.49, 0.77, -39.53), (-0.10, -0.10, 0.99), (-31.47, 0.77, -39.53), (-0.10, -0.10, 0.99)
(32.75, 2.45, -42.73),(-0.11, -0.07, 0.99), (-31.37, 0.88, -39.80), (-0.07, -0.10, 0.99), (8.15, 1.85, -41.60), (-0.10, -0.08, 0.99)
(32.87, 2.50, -42.76),(-0.09, -0.06, 0.99), (-31.27, 0.97, -40.03), (-0.06, -0.07, 1.00), (32.09, 2.48, -42.73), (-0.09, -0.06, 0.99)
(33.23, 2.77, -43.30),(-0.02, -0.05, 1.00), (-30.86, 1.17, -40.30), (0.01, -0.07, 1.00), (-11.97, 1.64, -41.19), (0.00, -0.07, 1.00)
(33.25, 2.73, -43.09),(-0.03, -0.04, 1.00), (-30.84, 1.11, -40.08), (0.02, -0.06, 1.00), (-26.91, 1.21, -40.26), (0.02, -0.06, 1.00)
(33.24, 2.75, -42.96),(-0.03, -0.04, 1.00), (-30.86, 1.19, -40.21), (0.03, -0.05, 1.00), (12.95, 2.25, -42.09), (-0.01, -0.04, 1.00)
(33.22, 2.79, -42.92),(-0.03, -0.04, 1.00), (-30.88, 1.18, -40.10), (0.02, -0.05, 1.00), (-21.64, 1.41, -40.51), (0.01, -0.04, 1.00)
(33.21, 2.83, -42.83),(-0.03, -0.02, 1.00), (-30.89, 1.39, -40.38), (0.02, -0.06, 1.00), (-2.12, 2.04, -41.48), (0.00, -0.04, 1.00)
(33.18, 2.93, -42.89),(-0.02, 0.00, 1.00), (-30.93, 1.60, -40.77), (0.02, -0.05, 1.00), (32.00, 2.90, -42.85), (-0.02, 0.00, 1.00)
(33.17, 2.88, -42.58),(-0.03, 0.00, 1.00), (-30.95, 1.55, -40.42), (0.01, -0.04, 1.00), (3.90, 2.27, -41.59), (-0.01, -0.01, 1.00)
(33.18, 3.06, -42.92),(-0.02, 0.00, 1.00), (-30.94, 1.54, -40.21), (0.00, -0.03, 1.00), (16.13, 2.65, -42.20), (-0.02, -0.01, 1.00)
(33.18, 3.07, -42.92),(-0.03, 0.01, 1.00), (-30.93, 1.38, -39.61), (0.00, -0.02, 1.00), (29.46, 2.97, -42.73), (-0.02, 0.01, 1.00)
(33.43, 3.22, -43.39),(-0.01, 0.01, 1.00), (-30.69, 1.97, -41.33), (0.02, -0.04, 1.00), (33.37, 3.22, -43.39), (-0.01, 0.01, 1.00)
(34.62, 2.88, -43.04),(0.19, 0.02, 0.98), (-29.21, 1.45, -40.28), (0.21, 0.00, 0.98), (34.62, 2.88, -43.04), (0.19, 0.02, 0.98)
(34.75, 2.79, -43.06),(0.18, 0.01, 0.98), (-29.15, 1.25, -40.21), (0.22, -0.01, 0.97), (34.66, 2.79, -43.05), (0.18, 0.01, 0.98)
(34.68, 2.71, -43.04),(0.17, 0.02, 0.99), (-29.32, 0.19, -37.28), (0.21, 0.01, 0.98), (34.68, 2.71, -43.04), (0.17, 0.02, 0.99)
