x,y
1129.764,468.7929
774.1332,287.8795
986.5946,543.9979
739.2592,354.568
829.0061,176.1037
773.3267,62.31028
993.8546,445.361
848.0065,198.6845
780.1061,32.49044
1089.6,373.0814
703.5447,485.9309
909.2493,394.9741
917.3964,392.9954
922.2776,429.0948
843.0262,406.7197
748.5038,229.7049
2379.228,186.1172
765.2419,364.6321
557.5237,296.6768
1020.678,450.888
298.762,174.6414
833.0451,470.2801
903.6701,372.0638
957.5503,462.8978
875.6868,522.5599
927.1044,444.5265
888.8102,292.7272
1146.135,493.7853
850.4813,139.4647
